listing_class,cost,name,address,beds,baths,sqft,neighborhood,zipcode,property_link
3,"$1,800 ","Condo for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-0002/mzce5kl/
3,"$2,495 ","Apartment for Rent, Chicago, IL",3406 W Dickens Ave,2 Beds,1 ba,"1,100 sq ft",Logan Square,"3406 W Dickens Ave Chicago, IL 60647",https://www.apartments.com/3406-w-dickens-ave-chicago-il-unit-1/t65zsrc/
3,"$2,100 ","Condo for Rent, Chicago, IL",2320 N Springfield Ave,3 Beds,1 ba,,Logan Square,"2320 N Springfield Ave Chicago, IL 60647",https://www.apartments.com/2320-n-springfield-ave-chicago-il-unit-1/fexn6kv/
3,"$1,800 ","Apartment for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-2/9qr59t6/
3,"$1,800 ","Apartment for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-2/p2xspfr/
3,"$2,200 /mo","House for Rent, Chicago, IL",2137 N Stave St,"2 Beds, 1.5 Baths",1.5 ba,,Logan Square,"2137 N Stave St Chicago, IL 60647",https://www.apartments.com/2137-n-stave-st-chicago-il/wgb86nj/
3,"$2,235 ","Condo for Rent, Chicago, IL",3051 W Medill Ave,2 Beds,1 ba,,Logan Square,"3051 W Medill Ave Chicago, IL 60647",https://www.apartments.com/3051-w-medill-ave-chicago-il-unit-1a/9vjcw84/
3,"$1,300 ","Apartment for Rent, Chicago, IL",3734 W Wabansia Ave,2 Beds,1 ba,,Logan Square,"3734 W Wabansia Ave Chicago, IL 60647",https://www.apartments.com/3734-w-wabansia-ave-chicago-il-unit-2r/r1t9rq1/
3,"$1,800 ","Apartment for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-2/m3l8s3k/
3,"$1,800 ","Condo for Rent, Chicago, IL",1626 N California Ave,2 Beds,1 ba,,Logan Square,"1626 N California Ave Chicago, IL 60647",https://www.apartments.com/1626-n-california-ave-chicago-il-unit-2/1f6bql5/
3,"$1,800 ","Apartment for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-2/g0z926x/
3,"$1,650 ","Apartment for Rent, Chicago, IL",3636 W Shakespeare Ave,3 Beds,1 ba,900 sq ft,Logan Square,"3636 W Shakespeare Ave Chicago, IL 60647",https://www.apartments.com/3636-w-shakespeare-ave-chicago-il-unit-1/3xehknd/
3,"$2,250 ","Apartment for Rent, Chicago, IL",1856 N Sawyer Ave,2 Beds,2 ba,"1,000 sq ft",Logan Square,"1856 N Sawyer Ave Chicago, IL 60647",https://www.apartments.com/1856-n-sawyer-ave-chicago-il-unit-102/f1z7yps/
3,"$1,800 ","Condo for Rent, Chicago, IL",2853 N Pulaski Rd,3 Beds,2 ba,,Logan Square,"2853 N Pulaski Rd Chicago, IL 60641",https://www.apartments.com/2853-n-pulaski-rd-chicago-il-unit-2s/v59h4hd/
3,"$1,650 ","Apartment for Rent, Chicago, IL",3636 W Shakespeare Ave,3 Beds,1 ba,"1,500 sq ft",Logan Square,"3636 W Shakespeare Ave Chicago, IL 60647",https://www.apartments.com/3636-w-shakespeare-ave-chicago-il-unit-1/m3ednzl/
3,"$1,675 ","Apartment for Rent, Chicago, IL",1926 N Kimball Ave,2 Beds,1 ba,"1,600 sq ft",Logan Square,"1926 N Kimball Ave Chicago, IL 60647",https://www.apartments.com/1926-n-kimball-ave-chicago-il-unit-2/21q1n09/
3,"$1,600 ","Apartment for Rent, Chicago, IL",1722 N Kimball Ave,3 Beds,1 ba,"1,300 sq ft",Logan Square,"1722 N Kimball Ave Chicago, IL 60647",https://www.apartments.com/1722-n-kimball-ave-chicago-il-unit-ch/wlq1qfh/
3,"$4,195 - 4,295","1238 N. Noble, Chicago, IL",1238 N Noble,6 Beds,5 ba,"2,100 sq ft",Ukrainian Village,"1238 N Noble Chicago, IL 60642",https://www.apartments.com/1238-n-noble-chicago-il/n4l54sp/
3,"$1,650 ","Apartment for Rent, Chicago, IL",3636 W Shakespeare Ave,3 Beds,1 ba,"1,500 sq ft",Logan Square,"3636 W Shakespeare Ave Chicago, IL 60647",https://www.apartments.com/3636-w-shakespeare-ave-chicago-il-unit-0gdn/j210gn7/
